NL #,natural language,alternative Lnaguage name,birth city,birth state,country,age,gender,onset age,english residence,LOR,learning style,sound file name,ethnologue code,notes,,,
1,afrikaans,,virginia,,south africa,27,female,9,usa,0.5,academic,afrikaans1.mp3,afr,,,,
2,afrikaans,,pretoria,,south africa,40,male,5,usa,10,academic,afrikaans2.mp3,afr,"30 years in s. africa, 10 years in usa",,,
1,agni,anyin,diekabo,,ivory coast,25,male,15,usa,1.2,academic,agni1.mp3,any,,,,
1,albanian,,prishtina,NULL,kosovo,19,male,6,usa,3,naturalistic,albanian1.mp3,als,,,,
2,albanian,,tirana,,albania,33,male,15,usa,0.04,naturalistic,albanian2.mp3,aln,,,,
1,amharic,,addis ababa,,ethiopia,20,female,5,usa,2,academic,amharic1.mp3,amh,,,,
2,amharic,,arba minch,,ethiopia,23,male,7,usa,2,academic,amharic2.mp3,amh,,,,
3,amharic,,addis ababa,,ethiopia,27,male,8,usa,4,academic,amharic3.mp3,amh,,,,
4,amharic,,addis ababa,,ethiopia,20,male,7,usa,2,academic,amharic4.mp3,amh,,,,
5,amharic,,addis ababa,,ethiopia,31,male,7,usa,3,academic,amharic5.mp3,amh,,,,
1,arabic,najdi,riyadh,,saudi arabia,38,female,12,usa,4,academic,arabic1.mp3,ars,,,,
10,arabic,,cairo,,egypt,26,male,5,usa,2,academic,arabic10.mp3,arz,,,,
11,arabic,,monastir,,tunisia,30,female,14,usa,4,academic,arabic11.mp3,aeb,,,,
12,arabic,,baghdad,,iraq,32,male,11,usa,8,academic,arabic12.mp3,acm,,,,
13,arabic,,zabbougha,,lebanon,25,male,15,usa,1,academic,arabic13.mp3,apc,,,,
2,arabic,,damascus,,syria,18,male,2.5,usa,3,naturalistic,arabic2.mp3,abv,,,,
3,arabic,,doha,,qatar,24,male,9,usa,1,academic,arabic3.mp3,afb,,,,
4,arabic,,sharjah,,united arab emirates,19,male,6,usa,0.6,academic,arabic4.mp3,afb,,,,
5,arabic,,casablanca,,morocco,19,female,15,usa,0.6,academic,arabic5.mp3,ary,,,,
6,arabic,,sanaa,,yemen,21,male,14.5,"uk,usa",2,academic,arabic6.mp3,ayn,"residence: 2 years uk, 3 months usa",,,
7,arabic,,casablanca,,morocco,18,female,15,usa,0.1,academic,arabic7.mp3,ary,,,,
8,arabic,,casablanca,,morocco,21,male,17,usa,0.7,academic,arabic8.mp3,ary,,,,
9,arabic,,jerusalem,,israel,28,female,4,usa,12,academic,arabic9.mp3,ajp,,,,
1,armenian,,yerevan,,armenia,19,female,9,usa,1,academic,armenian1.mp3,hye,,,,
1,azerbaijani,azeri turk,naxcivan,,azerbaijan,24,male,14,usa,1,academic,azerbaijani1.mp3,azj,,,,
1,bafang,fefe,douala,,cameroon,40,male,30,usa,10,academic,bafang1.mp3,fmp,,,,
1,baga,baga sitemu,conakry,,guinea,31,male,29,usa,2,academic,baga1.mp3,bsp,,,,
1,bai,,jianchuan,yunnan,china,43,female,40,,0,academic,bai1.mp3,bca,,,,
1,bambara,bamanankan,bamako,,mali,15.5,female,12,usa,0.4,academic,bambara1.mp3,bam,,,,
2,bambara,bamanankan,bamako,,mali,26,female,18,usa,2,academic,bambara2.mp3,bam,,,,
1,bamun,,foumban,,cameroon,31,female,15,usa,2,academic,bamun1.mp3,bax,,,,
1,basque,,vizcaya,,spain,69,female,34,usa,35,naturalistic,basque1.mp3,bqe,,,,
2,basque,,guernica,,spain,50,male,19,usa,30,naturalistic,basque2.mp3,bqe,,,,
1,bengali,,dhaka,,bangladesh,23,male,16,usa,1,academic,bengali1.mp3,ben,,,,
2,bengali,,lusaka,,zambia,25,female,2,usa,21,naturalistic,bengali2.mp3,ben,,,,
3,bengali,,dhaka,,bangladesh,19,female,5,usa,6,academic,bengali3.mp3,ben,,,,
4,bengali,,chittagong,,bangladesh,24,male,6,usa,5,academic,bengali4.mp3,ben,,,,
1,bosnian,,doboj,,bosnia and herzegovina,39,male,37,usa,2,academic,bosnian1.mp3,bos,,,,
2,bosnian,,sarajevo,,bosnia and herzegovina,21,male,10,usa,0.1,naturalistic,bosnian2.mp3,bos,,,,
1,bulgarian,,plovdiv,,bulgaria,25,female,16,usa,7,academic,bulgarian1.mp3,bul,,,,
2,bulgarian,,sofia,,bulgaria,53,female,42,usa,11,academic,bulgarian2.mp3,bul,,,,
